127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:01 +0000] "POST /solr/in-product-catalog/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/ HTTP/1.1" 200 3265
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/angular-csp.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/libs/chosen.jquery.min.js?_=9.0.0 HTTP/1.1" 200 7412
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/libs/jquery-3.5.1.min.js?_=9.0.0 HTTP/1.1" 200 31672
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/common.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/analysis.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/security.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/schema-designer.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/cloud.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/cores.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/collections.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/dashboard.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/files.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/index.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/java-properties.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/login.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/logging.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/plugins.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/menu.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/query.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/documents.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/stream.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/replication.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/schema.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/segments.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/threads.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/overview.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/chosen.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/sqlquery.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/ui-grid.min.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/jquery-ui.min.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/jquery-ui.structure.min.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/css/angular/jstree.style.min.css?_=9.0.0 HTTP/1.1" 304 0
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/libs/jstree.min.js?_=9.0.0 HTTP/1.1" 200 33575
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/libs/angular.min.js?_=9.0.0 HTTP/1.1" 200 62664
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/libs/angular-chosen.min.js?_=9.0.0 HTTP/1.1" 200 2076
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/libs/angular-resource.min.js?_=9.0.0 HTTP/1.1" 200 2898
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/libs/angular-route.min.js?_=9.0.0 HTTP/1.1" 200 3238
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/libs/angular-cookies.min.js?_=9.0.0 HTTP/1.1" 200 1406
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/libs/ngtimeago.js?_=9.0.0 HTTP/1.1" 200 1518
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/libs/highlight.js?_=9.0.0 HTTP/1.1" 200 5952
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/libs/jquery-ui.min.js?_=9.0.0 HTTP/1.1" 200 8840
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/libs/ui-grid.min.js?_=9.0.0 HTTP/1.1" 200 88953
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/libs/d3.js?_=9.0.0 HTTP/1.1" 200 62343
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/libs/angular-utf8-base64.min.js?_=9.0.0 HTTP/1.1" 200 2126
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/app.js?_=9.0.0 HTTP/1.1" 200 5542
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/index.js?_=9.0.0 HTTP/1.1" 200 1544
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/services.js?_=9.0.0 HTTP/1.1" 200 3448
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/login.js?_=9.0.0 HTTP/1.1" 200 3986
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/logging.js?_=9.0.0 HTTP/1.1" 200 1755
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/cloud.js?_=9.0.0 HTTP/1.1" 200 9243
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/collections.js?_=9.0.0 HTTP/1.1" 200 2458
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/cores.js?_=9.0.0 HTTP/1.1" 200 1755
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/threads.js?_=9.0.0 HTTP/1.1" 200 908
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/java-properties.js?_=9.0.0 HTTP/1.1" 200 1664
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/core-overview.js?_=9.0.0 HTTP/1.1" 200 1025
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/alias-overview.js?_=9.0.0 HTTP/1.1" 200 1103
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/collection-overview.js?_=9.0.0 HTTP/1.1" 200 1450
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/analysis.js?_=9.0.0 HTTP/1.1" 200 2170
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/files.js?_=9.0.0 HTTP/1.1" 200 1507
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/documents.js?_=9.0.0 HTTP/1.1" 200 1644
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/query.js?_=9.0.0 HTTP/1.1" 200 2906
127.0.0.1 - - [31/Dec/2022:05:29:11 +0000] "GET /solr/js/angular/controllers/stream.js?_=9.0.0 HTTP/1.1" 200 2184
